"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 11, 2016","2,031.92","2,045.22","2,054.42","2,031.92","-","-0.59%"
"Nov 10, 2016","2,044.03","2,017.69","2,076.44","2,016.96","-","1.61%"
"Nov 09, 2016","2,011.58","1,941.89","2,011.81","1,939.66","-","2.22%"
"Nov 08, 2016","1,967.93","1,959.79","1,973.07","1,959.79","-","0.78%"
"Nov 07, 2016","1,952.69","1,964.59","1,970.61","1,952.69","-","-0.51%"
"Nov 03, 2016","1,962.71","1,970.97","1,971.56","1,957.53","-","-0.31%"
"Nov 02, 2016","1,968.77","1,989.37","1,990.22","1,966.35","-","-1.41%"
"Nov 01, 2016","1,996.87","1,991.70","2,003.14","1,991.70","-","0.36%"
"Oct 31, 2016","1,989.64","1,984.24","1,992.48","1,976.29","-","0.40%"
"Oct 28, 2016","1,981.76","1,979.87","1,982.51","1,975.48","-","0.10%"
"Oct 27, 2016","1,979.80","1,975.16","1,986.53","1,973.27","-","0.25%"
"Oct 26, 2016","1,974.81","1,975.36","1,979.42","1,967.87","-","-0.12%"
"Oct 25, 2016","1,977.19","1,965.63","1,987.07","1,962.24","-","0.73%"
"Oct 24, 2016","1,962.79","1,960.97","1,970.36","1,957.65","-","0.26%"
"Oct 21, 2016","1,957.70","1,957.63","1,960.56","1,946.78","-","0.03%"
"Oct 20, 2016","1,957.09","1,967.52","1,968.11","1,956.61","-","-0.53%"
"Oct 19, 2016","1,967.50","1,971.90","1,973.24","1,961.39","-","-0.08%"
"Oct 18, 2016","1,969.11","1,958.28","1,974.01","1,958.28","-","0.62%"
"Oct 17, 2016","1,956.95","1,964.66","1,965.83","1,954.81","-","-0.48%"
"Oct 14, 2016","1,966.39","1,976.34","1,978.96","1,962.35","-","-0.50%"
"Oct 13, 2016","1,976.37","1,990.39","1,990.39","1,970.86","-","-0.85%"
"Oct 12, 2016","1,993.35","1,999.60","2,005.17","1,986.70","-","-0.40%"
"Oct 11, 2016","2,001.42","2,000.46","2,006.66","1,995.93","-","0.02%"
"Oct 10, 2016","2,001.10","1,981.11","2,002.53","1,977.43","-","1.06%"
"Oct 07, 2016","1,980.02","1,985.04","1,993.65","1,974.89","-","-0.19%"
"Oct 06, 2016","1,983.88","1,975.26","1,983.88","1,967.75","-","0.41%"
"Oct 05, 2016","1,975.85","1,985.05","1,985.05","1,962.14","-","-0.46%"
"Oct 04, 2016","1,985.02","1,987.61","1,989.32","1,975.96","-","-0.09%"
"Oct 03, 2016","1,986.80","1,981.02","1,993.55","1,975.74","-","0.44%"
"Sep 30, 2016","1,978.00","1,989.43","1,989.43","1,975.23","-","-0.91%"
"Sep 29, 2016","1,996.12","1,996.99","2,006.59","1,994.88","-","0.78%"
"Sep 28, 2016","1,980.68","1,977.35","1,993.93","1,975.84","-","0.26%"
"Sep 27, 2016","1,975.52","1,999.93","1,999.93","1,975.52","-","-1.12%"
"Sep 26, 2016","1,997.94","2,003.48","2,007.25","1,993.33","-","-0.69%"
"Sep 23, 2016","2,011.83","2,022.28","2,022.28","1,995.14","-","-0.67%"
"Sep 22, 2016","2,025.30","2,007.12","2,025.30","2,001.07","-","1.38%"
"Sep 21, 2016","1,997.67","1,995.13","2,004.10","1,988.64","-","0.30%"
"Sep 20, 2016","1,991.78","1,984.97","1,991.85","1,969.41","-","0.24%"
"Sep 19, 2016","1,986.97","1,984.46","1,993.49","1,981.39","-","0.25%"
"Sep 16, 2016","1,981.96","1,998.14","2,004.37","1,967.31","-","-0.73%"
"Sep 15, 2016","1,996.58","2,003.20","2,004.65","1,982.95","-","-0.39%"
"Sep 14, 2016","2,004.48","2,003.74","2,010.47","1,995.70","-","-0.00%"
"Sep 13, 2016","2,004.50","2,020.60","2,026.57","2,001.34","-","-0.76%"
"Sep 12, 2016","2,019.90","2,017.08","2,021.58","2,004.43","-","-0.41%"
"Sep 09, 2016","2,028.25","2,044.93","2,045.04","2,028.25","-","-1.10%"
"Sep 08, 2016","2,050.77","2,058.73","2,063.13","2,041.01","-","-0.15%"
"Sep 07, 2016","2,053.75","2,042.21","2,060.03","2,042.12","-","0.70%"
"Sep 06, 2016","2,039.53","2,020.77","2,040.42","2,017.50","-","1.10%"
"Sep 05, 2016","2,017.38","2,008.69","2,019.65","2,005.42","-","0.68%"
"Sep 02, 2016","2,003.77","1,978.16","2,006.25","1,976.62","-","1.36%"
"Sep 01, 2016","1,976.91","1,976.26","1,982.26","1,969.48","-","0.27%"
"Aug 31, 2016","1,971.59","1,985.84","1,988.56","1,966.88","-","-0.71%"
"Aug 30, 2016","1,985.69","1,989.03","1,999.14","1,983.84","-","-0.05%"
