"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 28, 2004","1,060.60","1,077.07","1,083.78","1,052.98","-","-1.52%"
"Dec 27, 2004","1,076.92","1,062.88","1,078.11","1,046.50","-","1.36%"
"Dec 24, 2004","1,062.43","1,060.41","1,072.58","1,053.27","-","0.26%"
"Dec 23, 2004","1,059.69","1,030.67","1,069.64","1,021.30","-","2.79%"
"Dec 22, 2004","1,030.89","1,042.42","1,044.70","1,017.05","-","-1.06%"
"Dec 21, 2004","1,041.95","1,005.74","1,048.14","1,005.22","-","3.60%"
"Dec 20, 2004","1,005.71","977.75","1,006.10","967.20","-","2.84%"
"Dec 17, 2004","977.90","1,019.65","1,028.32","966.59","-","-4.02%"
"Dec 16, 2004","1,018.89","1,027.04","1,033.26","1,011.00","-","-0.73%"
"Dec 15, 2004","1,026.34","1,030.33","1,035.44","1,004.23","-","-0.37%"
"Dec 14, 2004","1,030.17","991.55","1,031.73","991.55","-","4.01%"
"Dec 10, 2004","990.41","1,001.73","1,021.59","972.88","-","-1.09%"
"Dec 09, 2004","1,001.31","1,045.34","1,067.10","990.86","-","-3.75%"
"Dec 08, 2004","1,040.32","1,100.06","1,109.54","1,013.45","-","-5.48%"
"Dec 07, 2004","1,100.64","1,061.04","1,107.31","1,059.43","-","3.74%"
"Dec 06, 2004","1,061.01","1,058.80","1,062.69","1,034.28","-","0.17%"
"Dec 03, 2004","1,059.24","1,088.59","1,093.26","1,050.30","-","-2.70%"
"Dec 02, 2004","1,088.64","1,095.25","1,101.50","1,057.36","-","-0.57%"
"Dec 01, 2004","1,094.86","1,138.03","1,138.20","1,089.95","-","-3.81%"
"Nov 30, 2004","1,138.18","1,145.52","1,158.29","1,137.35","-","-0.63%"
"Nov 29, 2004","1,145.39","1,152.16","1,161.09","1,135.92","-","-0.58%"
"Nov 26, 2004","1,152.07","1,153.35","1,167.72","1,143.70","-","-0.06%"
"Nov 25, 2004","1,152.78","1,175.81","1,179.30","1,135.04","-","-2.05%"
"Nov 24, 2004","1,176.86","1,220.91","1,222.92","1,168.58","-","-3.60%"
"Nov 23, 2004","1,220.76","1,246.41","1,248.62","1,217.21","-","-2.11%"
"Nov 22, 2004","1,247.04","1,240.46","1,259.13","1,236.51","-","0.55%"
"Nov 19, 2004","1,240.16","1,317.21","1,325.03","1,232.29","-","-5.87%"
"Nov 18, 2004","1,317.46","1,308.70","1,331.94","1,299.07","-","0.62%"
"Nov 17, 2004","1,309.37","1,283.80","1,310.80","1,277.23","-","1.99%"
"Nov 16, 2004","1,283.80","1,283.83","1,287.10","1,267.63","-","0.06%"
"Nov 15, 2004","1,283.02","1,286.60","1,294.52","1,277.69","-","-0.26%"
"Nov 12, 2004","1,286.35","1,283.73","1,289.82","1,280.88","-","0.20%"
"Nov 11, 2004","1,283.75","1,285.57","1,298.72","1,274.29","-","-0.13%"
"Nov 10, 2004","1,285.40","1,306.99","1,306.99","1,277.07","-","-1.65%"
"Nov 09, 2004","1,306.99","1,296.20","1,318.73","1,296.20","-","0.88%"
"Nov 05, 2004","1,295.57","1,288.93","1,302.43","1,283.64","-","0.59%"
"Nov 04, 2004","1,287.99","1,266.55","1,290.76","1,241.63","-","1.70%"
"Nov 03, 2004","1,266.42","1,280.82","1,295.39","1,260.31","-","-1.09%"
"Nov 02, 2004","1,280.36","1,294.62","1,295.07","1,251.47","-","-1.10%"
