02.04.2010,01.07.2010,CHMF,GAZP,GMKN,HYDR,LKOH,ROSN,SBER03,SBERP03,SNGS,VTBR
02.07.2010,01.10.2010,GAZP,GMKN,HYDR,LKOH,ROSN,SBER03,SBERP03,SNGS,TRNFP,VTBR
04.10.2010,11.01.2011,GAZP,GMKN,HYDR,LKOH,ROSN,SBER03,SBERP03,SNGS,TRNFP,VTBR
12.01.2011,01.04.2011,SBER03,GAZP,GMKN,LKOH,SBERP03,ROSN,VTBR,CHMF,HYDR,TRNFP
02.04.2011,01.07.2011,SBER03,GAZP,GMKN,LKOH,SBERP03,ROSN,VTBR,CHMF,HYDR,SNGS
04.07.2011,03.10.2011,GAZP,SBER03,GMKN,LKOH,ROSN,VTBR,SBERP03,CHMF,URKA,SNGS
04.10.2011,03.01.2012,SBER,GAZP,GMKN,LKOH,ROSN,VTBR,SBERP,RTKM,URKA,CHMF
04.01.2012,02.04.2012,SBER,GAZP,LKOH,GMKN,ROSN,VTBR,SBERP,URKA,CHMF,RTKM
03.04.2012,02.07.2012,SBER,GAZP,VTBR,LKOH,ROSN,GMKN,SBERP,SNGS,URKA,CHMF
03.07.2012,01.10.2012,GAZP,GMKN,HYDR,LKOH,ROSN,SBER,SBERP,SNGS,URKA,VTBR
02.10.2012,08.01.2013,FEES,GAZP,GMKN,LKOH,ROSN,SBER,SBERP,SNGS,URKA,VTBR
09.01.2013,01.04.2013,FEES,GAZP,GMKN,LKOH,ROSN,SBER,SBERP,SNGS,URKA,VTBR
02.04.2013,01.07.2013,GAZP,GMKN,HYDR,LKOH,ROSN,SBER,SBERP,SNGS,URKA,VTBR
02.07.2013,01.10.2013,FEES,GAZP,GMKN,LKOH,ROSN,SBER,SBERP,SNGS,URKA,VTBR
02.10.2013,06.01.2014,GAZP,GMKN,HYDR,LKOH,ROSN,RTKM,SBER,SNGS,URKA,VTBR
08.01.2014,01.04.2014,GAZP,GMKN,LKOH,MGNT,ROSN,SBER,SBERP,SNGS,URKA,VTBR
02.04.2014,01.07.2014,GAZP,GMKN,LKOH,MGNT,NVTK,ROSN,SBER,SBERP,SNGSP,VTBR
